Date,Maha_Lord,Antar_Lord,Prayant_Lord,Maha_Strength,Antar_Strength,Prayant_Strength,Auspiciousness,Inauspiciousness,Active_Status,Entity,Birth_Date,End_Date,Start_Price,End_Price,Percent_Change,Period_High,Period_High_Date,Period_Low,Period_Low_Date
2020-09-30,Jupiter,Rahu,Rahu,6.4,5.2,5.2,5.8,4.7,Active,Palantir Technologies Inc.,2020-09-30,2020-12-24,9.46,27.75,193.34038054968286,33.5,2020-11-27,8.9,2020-10-06
2020-12-24,Jupiter,Rahu,Rahu,6.4,5.2,5.2,5.8,4.7,Active,Palantir Technologies Inc.,2020-09-30,2021-04-17,25.63,22.47,-12.329301599687867,45.0,2021-01-27,20.18,2021-03-05
2021-04-17,Jupiter,Rahu,Jupiter,6.4,5.2,6.4,6.04,4.26,Active,Palantir Technologies Inc.,2020-09-30,2021-08-29,21.94,25.71,17.183226982680033,27.5,2021-06-28,17.055,2021-05-11
2021-08-29,Jupiter,Rahu,Saturn,6.4,5.2,6.0,6.46,4.04,Active,Palantir Technologies Inc.,2020-09-30,2021-12-28,25.76,18.57,-27.911490683229818,29.29,2021-09-17,17.81,2021-12-17
2021-12-28,Jupiter,Rahu,Mercury,6.4,5.2,5.6,5.38,4.92,Active,Palantir Technologies Inc.,2020-09-30,2022-02-16,18.17,13.97,-23.115024766097967,19.0701,2021-12-28,11.75,2022-01-24
2022-02-16,Jupiter,Rahu,Ketu,6.4,5.2,4.8,5.72,4.78,Active,Palantir Technologies Inc.,2020-09-30,2022-07-08,11.77,10.17,-13.593882752761255,14.86,2022-04-05,6.44,2022-05-12
2022-07-08,Jupiter,Rahu,Venus,6.4,5.2,5.2,5.3,5.0,Active,Palantir Technologies Inc.,2020-09-30,2022-08-19,9.56,8.51,-10.983263598326367,11.62,2022-08-05,8.48,2022-08-19
2022-08-19,Jupiter,Rahu,Sun,6.4,5.2,5.2,5.3,5.2,Active,Palantir Technologies Inc.,2020-09-30,2022-10-29,8.07,8.64,7.0631970260223085,9.05,2022-10-26,7.13,2022-09-23
2022-10-29,Jupiter,Rahu,Moon,6.4,5.2,5.2,5.3,5.0,Active,Palantir Technologies Inc.,2020-09-30,2023-03-24,8.79,8.2,-6.712172923777018,10.31,2023-02-16,5.84,2023-01-24
2023-03-24,Jupiter,Saturn,Saturn,6.4,6.0,6.0,6.2,4.3,Active,Palantir Technologies Inc.,2020-09-30,2023-09-09,8.04,15.13,88.18407960199008,20.2399,2023-08-01,7.28,2023-05-04
2023-09-09,Saturn,Saturn,Saturn,6.0,6.0,6.0,6.0,5.0,Active,Palantir Technologies Inc.,2020-09-30,2024-02-07,15.79,23.6,49.461684610513004,23.87,2024-02-07,13.68,2023-09-21
2024-02-07,Saturn,Saturn,Mercury,6.0,6.0,5.6,6.92,3.88,Active,Palantir Technologies Inc.,2020-09-30,2024-04-10,24.51,22.42,-8.527131782945736,27.5,2024-03-07,21.38,2024-02-07
2024-04-10,Saturn,Saturn,Ketu,6.0,6.0,4.8,5.76,5.24,Active,Palantir Technologies Inc.,2020-09-30,2024-10-05,22.84,40.01,75.17513134851139,40.29,2024-10-04,20.33,2024-04-19
2024-10-05,Saturn,Saturn,Venus,6.0,6.0,5.2,6.84,3.96,Active,Palantir Technologies Inc.,2020-09-30,2024-11-27,38.89,66.05,69.83800462843918,67.88,2024-11-25,38.78,2024-10-07
2024-11-27,Saturn,Saturn,Sun,6.0,6.0,5.2,4.84,6.16,Active,Palantir Technologies Inc.,2020-09-30,2025-02-24,67.08,90.68,35.18187239117473,125.41,2025-02-19,63.4,2025-01-13
2025-02-24,Saturn,Saturn,Moon,6.0,6.0,5.2,4.84,5.96,Active,Palantir Technologies Inc.,2020-09-30,2025-04-27,87.84,112.78,28.392531876138428,112.88,2025-04-25,66.12,2025-04-07
