Period_Type,Start_Date,End_Date,Start_Price,Period_High,Period_Low,High_Date,Low_Date,Percent_Change,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
PratyantarDasha,2020-09-30,2020-12-24,9.5,29.05,9.03,2020-11-25,2020-10-05,192.11,MD-AD-PD,Jupiter,Rahu,Rahu,Rahu,Rahu,7.26,10.0,3,1.0,0.5,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Rahu sub-period (malefic)
PratyantarDasha,2020-12-24,2021-04-17,27.75,39.0,21.73,2021-01-27,2021-03-29,-19.03,MD-AD-PD,Jupiter,Rahu,Jupiter,Jupiter,Rahu,4.06,1.0,1,1.0,0.5,Jupiter dasha (benefic); lord in challenged (debilitated/enemy sign); moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic)
PratyantarDasha,2021-04-17,2021-08-29,22.47,27.38,18.37,2021-06-28,2021-05-13,14.42,MD-AD-PD,Jupiter,Rahu,Saturn,Saturn,Rahu,7.26,10.0,2,1.0,0.75,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; strong luminaries support; Rahu sub-period (malefic); Saturn sub-sub-period (malefic)
PratyantarDasha,2021-08-29,2021-12-28,25.71,28.77,17.96,2021-09-23,2021-12-20,-27.77,MD-AD-PD,Jupiter,Rahu,Mercury,Mercury,Rahu,9.1,10.0,3,1.0,1.0,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; strong luminaries support; Rahu sub-period (malefic); Mercury sub-sub-period (benefic)
PratyantarDasha,2021-12-28,2022-02-16,18.57,18.69,12.28,2021-12-30,2022-01-27,-24.77,MD-AD-PD,Jupiter,Rahu,Ketu,Ketu,Rahu,6.8,10.0,2,1.0,0.5,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Ketu sub-sub-period (malefic)
PratyantarDasha,2022-02-16,2022-07-08,13.97,14.63,6.71,2022-04-04,2022-05-11,-27.2,MD-AD-PD,Jupiter,Rahu,Venus,Venus,Rahu,5.5,5.0,1,1.0,0.5,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Rahu sub-period (malefic); Venus sub-sub-period (benefic)
PratyantarDasha,2022-07-08,2022-08-19,10.17,11.45,8.51,2022-08-05,2022-08-19,-16.32,MD-AD-PD,Jupiter,Rahu,Sun,Sun,Rahu,5.0,5.0,2,1.0,0.5,Jupiter dasha (benefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Rahu sub-period (malefic); Sun sub-sub-period (malefic)
PratyantarDasha,2022-08-19,2022-10-29,8.51,8.66,7.28,2022-10-25,2022-09-06,1.53,MD-AD-PD,Jupiter,Rahu,Moon,Moon,Rahu,8.65,10.0,2,1.0,1.0,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; strong luminaries support; Rahu sub-period (malefic); Moon sub-sub-period (benefic)
PratyantarDasha,2022-10-29,2022-12-18,8.64,8.79,6.9,2022-10-31,2022-12-16,-20.14,MD-AD-PD,Jupiter,Rahu,Mars,Mars,Rahu,4.2,5.0,1,1.0,0.3,Jupiter dasha (benefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Rahu sub-period (malefic); Mars sub-sub-period (malefic)
PratyantarDasha,2023-03-24,2023-09-09,8.2,19.99,7.38,2023-08-01,2023-05-04,84.51,MD-AD-PD,Jupiter,Saturn,Saturn,Saturn,Saturn,6.8,10.0,2,1.0,0.5,Jupiter dasha (benefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Saturn sub-period (malefic)
PratyantarDasha,2023-09-09,2024-02-07,15.13,23.6,13.96,2024-02-07,2023-09-26,55.98,MD-AD-PD,Saturn,Saturn,Mercury,Mercury,Saturn,5.5,5.0,0,0.0,0.75,Saturn dasha (malefic); lord in moderate strength; strong luminaries support; Mercury sub-sub-period (benefic)
PratyantarDasha,2024-02-07,2024-04-10,23.6,26.46,22.42,2024-03-07,2024-04-10,-5.0,MD-AD-PD,Saturn,Saturn,Ketu,Ketu,Saturn,4.1,5.0,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Ketu sub-sub-period (malefic)
PratyantarDasha,2024-04-10,2024-10-05,22.42,40.01,20.47,2024-10-04,2024-04-19,78.46,MD-AD-PD,Saturn,Saturn,Venus,Venus,Saturn,8.2,10.0,3,1.0,0.5,Saturn dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-sub-period (benefic)
PratyantarDasha,2024-10-05,2024-11-27,40.01,66.05,38.89,2024-11-27,2024-10-07,65.08,MD-AD-PD,Saturn,Saturn,Sun,Sun,Saturn,4.55,5.0,1,1.0,0.5,Saturn dasha (malefic); lord in moderate strength; moderate protective influence; balanced solar-lunar influence; Sun sub-sub-period (malefic)
PratyantarDasha,2024-11-27,2025-02-24,66.05,124.62,64.98,2025-02-18,2025-01-13,37.29,MD-AD-PD,Saturn,Saturn,Moon,Moon,Saturn,5.05,5.0,0,0.0,0.5,Saturn dasha (malefic); lord in moderate strength; balanced solar-lunar influence; Moon sub-sub-period (benefic)
PratyantarDasha,2025-02-24,2025-04-27,90.68,112.78,74.01,2025-04-25,2025-04-04,24.37,MD-AD-PD,Saturn,Saturn,Mars,Mars,Saturn,5.0,5.0,2,1.0,0.5,Saturn dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Mars sub-sub-period (malefic)
